ncbi,id
Ocbimv22023196m,EGF/laminin
Ocbimv22007402m,EGFd1 like Notch ligand
Ocbimv22029501m,EGFR
Ocbimv22000489m,EGFR
Ocbimv22035696m,VEGFR
Ocbimv22020324m,FGF
Ocbimv22029899m,FGF
Ocbimv22016418m,FGF1
Ocbimv22009939m,Sox
Ocbimv22010254m,Sox
Ocbimv22020621m,Sox
Ocbimv22021495m,Sox
Ocbimv22024292m,Sox
Ocbimv22035960m,Sox
Ocbimv22024932m,Sox2
Ocbimv22004236m,TGFb
Ocbimv22007614m,TGFb
Ocbimv22012812m,TGFb
Ocbimv22016488m,TGFb
Ocbimv22016509m,TGFb
Ocbimv22024215m,TGFb
Ocbimv22028480m,TGFb
Ocbimv22034460m,TGFb
Ocbimv22035203m,TGFb
Ocbimv22017854m,TGFb (maybe)
Ocbimv22025533m,TGFb1
Ocbimv22027813m,TGFb1
Ocbimv22034445m,TGFb4
Ocbimv22006465m,TGFb5
Ocbimv22021918m,TGFb7
Ocbimv22027895m,TGFb7
Ocbimv22030105m,TGFb7
Ocbimv22030111m,TGFb7
Ocbimv22001681m,VACHT
Ocbimv22001674m,ChAT
Ocbimv22022345m,ChTr1
Ocbimv22026657m,ChTr2
Ocbimv22038398m,AChE
Ocbimv22000748m,AchR
Ocbimv22000751m,AchR
Ocbimv22000911m,AchR
Ocbimv22006182m,AchR
Ocbimv22006184m,AchR
Ocbimv22006964m,AchR
Ocbimv22007364m,AchR
Ocbimv22007974m,AchR
Ocbimv22009305m,AchR
Ocbimv22010553m,AchR
Ocbimv22010697m,AchR
Ocbimv22010831m,AchR
Ocbimv22017732m,AchR
Ocbimv22024879m,AchR
Ocbimv22027335m,AchR
Ocbimv22028723m,AchR
Ocbimv22029772m,AchR
Ocbimv22030094m,AchR
Ocbimv22032607m,AchR
Ocbimv22033185m,AchR
Ocbimv22034659m,AchR
Ocbimv22034660m,AchR
Ocbimv22034848m,AchR
Ocbimv22034850m,AchR
Ocbimv22035826m,AchR
Ocbimv22036879m,AchR
Ocbimv22037405m,AchR
Ocbimv22037412m,AchR
Ocbimv22014556m,Anionic AchR
Ocbimv22018197m,Anionic AchR
Ocbimv22033644m,Anionic AchR
Ocbimv22024718m,VGlut
Ocbimv22030383m,GlutSyn
Ocbimv22009470m,AMPA
Ocbimv22018190m,AMPA
Ocbimv22031186m,AMPA
Ocbimv22013147m,AMPA-like
Ocbimv22017521m,AMPA-like
Ocbimv22018191m,AMPA-like
Ocbimv22034717m,AMPA-like
Ocbimv22039454m,AMPA-like
Ocbimv22032833m,GLUR3
Ocbimv22024411m,GLUR4
Ocbimv22012189m,GLUR6
Ocbimv22000512m,GlutRI
Ocbimv22008706m,GlutRI
Ocbimv22014117m,GlutRI
Ocbimv22031885m,GRIK1
Ocbimv22003892m,GRIK1L
Ocbimv22026900m,Kainate
Ocbimv22034182m,NMDA1
Ocbimv22003857m,NMDA2
Ocbimv22005423m,NMDA3
Ocbimv22039547m,NMDA3
Ocbimv22017369m,TH
Ocbimv22026818m,DAT
Ocbimv22028172m,GAD
Ocbimv22031264m,TyrBH
Ocbimv22034805m,Octopamine Transporter
Ocbimv22008941m,VIAAT
Ocbimv22031489m,VMAT A
Ocbimv22004667m,VMAT C
Ocbimv22031849m,VMATA
Ocbimv22031711m,VNUT
Ocbimv22020167m,Prot
Ocbimv22020106m,SIALIN B
Ocbimv22001378m,SIALIN C
Ocbimv22032045m,SIALIN D
Ocbimv22026733m,SIALIN E
Ocbimv22006827m,SIALIN L
Ocbimv22006825m,SIALIN N
Ocbimv22028847m,Snap25
Ocbimv22021175m,Synaptotagmin
gene:Ocbimv22008302m.g,Cytochrome C oxidase
gene:Ocbimv22005648m.g,Ammonium transporter
gene:Ocbimv22006768m.g,No hits
gene:Ocbimv22019540m.g,Arginine kinase
gene:Ocbimv22012015m.g,No hits (squid hit)
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22019540m.g,Arginine kinase
gene:Ocbimv22023622m.g,Eukaryotic type carbonic anhydrase
gene:Ocbimv22002565m.g,Aminopeptidase
gene:Ocbimv22036377m.g,No hit
gene:Ocbimv22037179m.g,Leucine rich repeat
gene:Ocbimv22015499m.g,GPCR
gene:Ocbimv22032142m.g,No hits
gene:Ocbimv22010770m.g,Core histone family
gene:Ocbimv22018191m.g,AMPA GlutR
gene:Ocbimv22011680m.g,Potassium channel TWiK family
gene:Ocbimv22021232m.g,No hits (squid hit)
gene:Ocbimv22013619m.g,No hit
gene:Ocbimv22024633m.g,No hit
gene:Ocbimv22012450m.g,No hit (Squid hit)
gene:Ocbimv22009888m.g,No hit (squid hit)
gene:Ocbimv22023810m.g,plasma membrane calcium ATPase
gene:Ocbimv22024658m.g,Synaptotagmin
gene:Ocbimv22003827m.g,Cadherin
gene:Ocbimv22013972m.g,No hit
gene:Ocbimv22013417m.g,Actin
gene:Ocbimv22000497m.g,No hits (squid hit)
gene:Ocbimv22004644m.g,No hit (squid and invert hits)
gene:Ocbimv22023236m.g,Ribonuclease
gene:Ocbimv22011989m.g,No hit
gene:Ocbimv22028702m.g,Calmodulin
gene:Ocbimv22038024m.g,Tetraspanin family molecule
gene:Ocbimv22011001m.g,Fibronectin
gene:Ocbimv22013620m.g,No hit
gene:Ocbimv22031566m.g,No hits (squid and invert hits)
gene:Ocbimv22006271m.g,No hits (squid hit)
gene:Ocbimv22036185m.g,Thyroglobulin repeat
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22006372m.g,Proline serine threonine phosphatase interacting protein
gene:Ocbimv22013619m.g,No hit
gene:Ocbimv22017206m.g,Ribosomal protein family S24E
gene:Ocbimv22018177m.g,Ribosomal protein S28E
gene:Ocbimv22028837m.g,Hsd3b1 Steroid dehydrogenase
gene:Ocbimv22037716m.g,No hit (Squid hit)
gene:Ocbimv22009888m.g,No hit (squid hit)
gene:Ocbimv22036799m.g,Cyclin dependent kinase regulatory subunit
gene:Ocbimv22024372m.g,No hits at all
gene:Ocbimv22016460m.g,Innexin
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22015949m.g,Cytochrome C somatic
gene:Ocbimv22023622m.g,Eukaryotic type carbonic anhydrase
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22033499m.g,Ribosomal L39 protein
gene:Ocbimv22024563m.g,No hits
gene:Ocbimv22008510m.g,Tetraspanin
gene:Ocbimv22030651m.g,No hit
gene:Ocbimv22020943m.g,BRIOCHOS domain integral membrane protein
gene:Ocbimv22038456m.g,No hit (Squid hit)
gene:Ocbimv22006132m.g,Histidine decarboxylase
gene:Ocbimv22030650m.g,No hit (Squid hit)
gene:Ocbimv22037269m.g,No hits (squid and invert hits)
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22030651m.g,No hit (squid hit? CHECK)
gene:Ocbimv22019314m.g,von Willebrand factor
gene:Ocbimv22011913m.g,No hits (Squid hit)
gene:Ocbimv22011816m.g,Ribosomal L28e protein
gene:Ocbimv22005111m.g,No hit (squid hit)
gene:Ocbimv22011288m.g,von Willebrand factor
gene:Ocbimv22037350m.g,No hit
gene:Ocbimv22011816m.g,Ribosomal protein family L28E
gene:Ocbimv22006273m.g,No hits (squid hit)
gene:Ocbimv22001940m.g,Helix-loop DNA binding domain
gene:Ocbimv22019394m.g,Calponin homology domain transgelin
gene:Ocbimv22016460m.g,Innexin
gene:Ocbimv22018177m.g,Ribosomal L28e protein
gene:Ocbimv22023842m.g,FMRF related peptide
gene:Ocbimv22019504m.g,No hits (squid hit)
gene:Ocbimv22037232m.g,No hits
gene:Ocbimv22011913m.g,No hits (Squid hit)
gene:Ocbimv22030650m.g,No hit (Squid hit)
gene:Ocbimv22002134m.g,Fibrinogen like
gene:Ocbimv22010579m.g,No hit
gene:Ocbimv22028413m.g,No hit
gene:Ocbimv22023291m.g,Universal stress protein family
gene:Ocbimv22025965m.g,Cadherin
gene:Ocbimv22018791m.g,No hit (Squid hit)
gene:Ocbimv22032137m.g,No hits
gene:Ocbimv22018789m.g,Inter alpha trypsin inhibitor heavy chain/von Willebrand factor
gene:Ocbimv22025965m.g,Cadherin
gene:Ocbimv22023842m.g,FMRF related peptide
gene:Ocbimv22008397m.g,No hit
gene:Ocbimv22025965m.g,Cadherin
gene:Ocbimv22019693m.g,Ribosomal protein L44
gene:Ocbimv22002134m.g,Fibrinogen like
gene:Ocbimv22015079m.g,Copper type 2 dependent ascorbate dependent monoxygenase
gene:Ocbimv22003826m.g,Cadherin
gene:Ocbimv22025965m.g,Cadherin
gene:Ocbimv22030344m.g,LICD protein family
gene:Ocbimv22011913m.g,No hits (Squid hit)
gene:Ocbimv22030344m.g,LICD protein family
gene:Ocbimv22030651m.g,No hit
gene:Ocbimv22033538m.g,Thyroglobulin
gene:Ocbimv22033336m.g,Retinol dehydrogenase
gene:Ocbimv22030344m.g,LICD protein family
gene:Ocbimv22034806m.g,"Octopamine transporter?! (check, 34805 is)"
gene:Ocbimv22015194m.g,Platelet derived growth factor
gene:Ocbimv22031264m.g,TyrBH
gene:Ocbimv22011913m.g,No hits (Squid hit)
gene:Ocbimv22039703m.g,Thyroglobulin
gene:Ocbimv22025912m.g,GPCR
gene:Ocbimv22013244m.g,Myeloid leukemia factor
gene:Ocbimv22015079m.g,Copper type 2 dependent ascorbate dependent monoxygenase
gene:Ocbimv22033271m.g,No hits
gene:Ocbimv22018791m.g,No hit (Squid hit)
gene:Ocbimv22012192m.g,No hits
gene:Ocbimv22020728m.g,No hit
gene:Ocbimv22030650m.g,No hit (Squid hit)
gene:Ocbimv22031207m.g,No identifying hits
gene:Ocbimv22005193m.g,No hit
gene:Ocbimv22005243m.g,No hits
gene:Ocbimv22023633m.g,Matrix metallopeptidase
gene:Ocbimv22024658m.g,Synaptotagmin
gene:Ocbimv22030504m.g,Unknown function
gene:Ocbimv22034874m.g,Cytochrome P450
gene:Ocbimv22020075m.g,No hits (squid hit)
gene:Ocbimv22019102m.g,No hit
gene:Ocbimv22000126m.g,Innexin
gene:Ocbimv22038765m.g,Sushi domain von Willebrand factor
gene:Ocbimv22030969m.g,Unknown function
gene:Ocbimv22007770m.g,No hit (Squid hit)
gene:Ocbimv22004644m.g,No hit (squid and invert hits)
gene:Ocbimv22034524m.g,Glycosyl hydrolases
gene:Ocbimv22006407m.g,Plexin
gene:Ocbimv22006182m.g,nAchR
gene:Ocbimv22006249m.g,Ribosomal protein S27 like
gene:Ocbimv22008457m.g,Core histone like transcription factor
gene:Ocbimv22000033m.g,No hits
gene:Ocbimv22026663m.g,SP BPI CETP family C terminal domain bacterial permeability increasing protein
gene:Ocbimv22022248m.g,Glucose transporter
gene:Ocbimv22030188m.g,No hit
gene:Ocbimv22034192m.g,No hits
gene:Ocbimv22025489m.g,Astacin ShK domain like tolloid like
gene:Ocbimv22016420m.g,No hits (squid and invert hits)
gene:Ocbimv22011680m.g,Potassium channel TWiK family
gene:Ocbimv22008138m.g,ABC transporter ATP binding casette
gene:Ocbimv22018450m.g,No hits (squid hit)
gene:Ocbimv22035785m.g,Mef2c
gene:Ocbimv22011680m.g,Potassium channel TWiK family
gene:Ocbimv22022356m.g,No hit (one weak to Voltage dependent calcium channel)
gene:Ocbimv22003827m.g,Cadherin
gene:Ocbimv22006874m.g,Tubulin
gene:Ocbimv22004815m.g,Collagen
gene:Ocbimv22018791m.g,No hit (Squid hit)
gene:Ocbimv22028115m.g,No hits (squid and invert hits)
gene:Ocbimv22015857m.g,Deoxyribonuclease
gene:Ocbimv22030893m.g,No hit
gene:Ocbimv22010802m.g,Ras like protein
gene:Ocbimv22001854m.g,No hit (squid hit)
gene:Ocbimv22028275m.g,Protein quaking isoform
gene:Ocbimv22003415m.g,No hit (squid hit)
gene:Ocbimv22031576m.g,No hits (squid hit)
gene:Ocbimv22023236m.g,Ribonuclease
gene:Ocbimv22034667m.g,No hit
gene:Ocbimv22016098m.g,G protein regulated inducer of neurite outgrowth
gene:Ocbimv22032150m.g,No hits
gene:Ocbimv22015141m.g,No hit
gene:Ocbimv22005111m.g,No hit (squid hit)
gene:Ocbimv22012237m.g,von Willebrand factor
gene:Ocbimv22015400m.g,No hit (squid hit)
gene:Ocbimv22032256m.g,No hit
gene:Ocbimv22036586m.g,No hit (Squid hit)
gene:Ocbimv22011835m.g,No hits (squid hit)
gene:Ocbimv22030377m.g,Caprin family member
gene:Ocbimv22017380m.g,No hit
gene:Ocbimv22010217m.g,No hit
gene:Ocbimv22006170m.g,No hit
gene:Ocbimv22035785m.g,Myocyte enhancer factor 2B
gene:Ocbimv22009073m.g,GPCR (mAchR)
gene:Ocbimv22030893m.g,No hit
gene:Ocbimv22001854m.g,No hits (Squid hit)
gene:Ocbimv22007283m.g,Ankyrin repeat/Notch?
gene:Ocbimv22009850m.g,Scavenger receptor cysteine rich domain lysyl oxidase like 3
gene:Ocbimv22006708m.g,No hits (squid hit)
gene:Ocbimv22009073m.g,GPCR (mAchR)
gene:Ocbimv22034013m.g,Leucine right repeat slit homolog
gene:Ocbimv22001324m.g,FMRF amide
gene:Ocbimv22030188m.g,No hit
gene:Ocbimv22000847m.g,Cadherin
gene:Ocbimv22028308m.g,No hits (squid and invert hits)
gene:Ocbimv22015227m.g,No hit
gene:Ocbimv22029489m.g,Sulfotransferase Tango13 Transport
gene:Ocbimv22025240m.g,Calcipressin
gene:Ocbimv22033338m.g,"7TMR (Rhodopsin family but not one of ours, cholecystokinin receptor?)"
gene:Ocbimv22025834m.g,NRV nervana Sodium potassium ATPase transporting protein 
gene:Ocbimv22021700m.g,No hit
gene:Ocbimv22003625m.g,Lipoma HMGIC fustion partner like
gene:Ocbimv22012624m.g,SLC
gene:Ocbimv22019140m.g,FAD dependent oxidoreductase containing protein
gene:Ocbimv22014608m.g,No hit (squid and invert hits)
gene:Ocbimv22008580m.g,Calmodulin-like
gene:Ocbimv22017369m.g,Tyrosine Hydroxylase
gene:Ocbimv22011680m.g,Potassium channel TWiK family
gene:Ocbimv22024656m.g,Synaptotagmin
gene:Ocbimv22032888m.g,GPCR (Rhodopsin family but not one of our opsins)
gene:Ocbimv22002134m.g,Fibrinogen like
gene:Ocbimv22001940m.g,Helix-loop DNA binding domain
gene:Ocbimv22033367m.g,No hit
gene:Ocbimv22011289m.g,Nucleoside H+ symporter/Major Facilititator superfamily
gene:Ocbimv22029262m.g,Olfactomedin like
gene:Ocbimv22003781m.g,Solute carrier family member 45
gene:Ocbimv22005706m.g,No hit
gene:Ocbimv22000701m.g,Otopetrin
gene:Ocbimv22030893m.g,No hit
gene:Ocbimv22000216m.g,Low density lipoprotein receptor
gene:Ocbimv22022356m.g,No hit (one weak to Voltage dependent calcium channel)
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22017464m.g,SLC
gene:Ocbimv22024117m.g,No hits
gene:Ocbimv22006272m.g,No hits (squid hit)
gene:Ocbimv22000751m.g,nAchR
gene:Ocbimv22038148m.g,No great hits (Squid hit)
gene:Ocbimv22007770m.g,No hit (Squid hit)
gene:Ocbimv22024561m.g,Insulin-like growth factor binding protein
gene:Ocbimv22037179m.g,Leucine rich repeat
gene:Ocbimv22030927m.g,Rabphilin homolog
gene:Ocbimv22009822m.g,Cathepsin
gene:Ocbimv22023930m.g,Perilipin
gene:Ocbimv22015861m.g,Cysteine rich protein
gene:Ocbimv22006768m.g,No hits
gene:Ocbimv22039573m.g,Fibronectin
gene:Ocbimv22003562m.g,PAP superfamily phosphatidic acid phosphatase
gene:Ocbimv22027816m.g,No hits (Squid hit)
gene:Ocbimv22028716m.g,Transmembrane and tetratricopetide repeat
gene:Ocbimv22015343m.g,SLC
gene:Ocbimv22028437m.g,GPCR (Rhodopsin family but not one of our opsins)
gene:Ocbimv22036916m.g,Sulfotransferase domain cytosolic family
gene:Ocbimv22017371m.g,No hit
gene:Ocbimv22001581m.g,7TMR (somatostatin?)
gene:Ocbimv22034874m.g,Cytochrome P450
gene:Ocbimv22039455m.g,AMPA like GlutR
gene:Ocbimv22024117m.g,No hits
gene:Ocbimv22037350m.g,No hit
gene:Ocbimv22002135m.g,Fibrinogen like
gene:Ocbimv22027950m.g,No hits (Squid hit)
gene:Ocbimv22030325m.g,No hit (Squid hit)
gene:Ocbimv22000192m.g,No hits (squid hit)
gene:Ocbimv22037397m.g,7TMR (Rhodopsin family but dopamine)
gene:Ocbimv22007770m.g,No hit (Squid hit)
gene:Ocbimv22016098m.g,G protein regulated inducer of neurite outgrowth
gene:Ocbimv22036031m.g,GPCR 
gene:Ocbimv22003027m.g,No hits (squid hit)
gene:Ocbimv22019140m.g,FAD dependent oxidoreductase containing protein
gene:Ocbimv22033830m.g,No hit
gene:Ocbimv22026602m.g,Myosin light chain
gene:Ocbimv22003788m.g,von Willebrand factor
gene:Ocbimv22038148m.g,No great hits (Squid hit)
gene:Ocbimv22016663m.g,No hits (squid hit)
gene:Ocbimv22039822m.g,FAD dependent oxidoreductase
gene:Ocbimv22030244m.g,No hit (squid hit)
gene:Ocbimv22001106m.g,ATP citrate synthase
gene:Ocbimv22013395m.g,Multicopper oxidase
gene:Ocbimv22011517m.g,Gamma-glutamyltrasnpeptidase gamma-glutamyltransferase
gene:Ocbimv22024117m.g,No hit
gene:Ocbimv22017494m.g,SCR repeat von Willebrand factor
gene:Ocbimv22036586m.g,No hit (Squid hit)
gene:Ocbimv22005263m.g,Nuclear hormone receptor
gene:Ocbimv22009641m.g,No hit
gene:Ocbimv22039822m.g,FAD dependent oxidoreductase
gene:Ocbimv22024117m.g,No hit
gene:Ocbimv22036586m.g,No hit (Squid hit)
gene:Ocbimv22012776m.g,C2H2
gene:Ocbimv22006026m.g,No hit
gene:Ocbimv22015407m.g,MPN domain containing protein
gene:Ocbimv22018197m.g,Anionic nAchR!!!! 
gene:Ocbimv22039573m.g,Fibronectin
gene:Ocbimv22028275m.g,Protein quaking isoform
gene:Ocbimv22039573m.g,Fibronectin
gene:Ocbimv22007509m.g,No hits
gene:Ocbimv22015499m.g,GPCR (Neuropeptide Y?)
gene:Ocbimv22025800m.g,Hox(OTX?)
gene:Ocbimv22024117m.g,No hit
gene:Ocbimv22020496m.g,Metalloprotease
gene:Ocbimv22012929m.g,No hits
gene:Ocbimv22034719m.g,No hits
gene:Ocbimv22002030m.g,No hits
gene:Ocbimv22024629m.g,No hits (squid hit)
gene:Ocbimv22034341m.g,No hit
gene:Ocbimv22003625m.g,Lipoma HMGIC fustion partner like
gene:Ocbimv22006018m.g,WW domain binding protein
gene:Ocbimv22005706m.g,No hit
gene:Ocbimv22033367m.g,No hit
gene:Ocbimv22016862m.g,No hits
gene:Ocbimv22038148m.g,No great hits (Squid hit)
gene:Ocbimv22001189m.g,Heparan sulfate (glucosamine) sulfotransferase
gene:Ocbimv22022516m.g,No hit
gene:Ocbimv22014073m.g,No hits (squid and invert hits)
gene:Ocbimv22016098m.g,G protein regulated inducer of neurite outgrowth
gene:Ocbimv22019762m.g,KH domain containing RNA binding signal transduction associated protein
gene:Ocbimv22020897m.g,NADH ubiquinone oxidoreductase subunit
gene:Ocbimv22039573m.g,Fibronectin
gene:Ocbimv22021212m.g,No hits (squid hit)
gene:Ocbimv22031750m.g,Matrixin metallopeptidase
gene:Ocbimv22009422m.g,Macroglobulin precursor
gene:Ocbimv22035824m.g,nAchR
gene:Ocbimv22002929m.g,No hits (squid and invert hits)
gene:Ocbimv22004213m.g,No hit (squid and invert hits)
gene:Ocbimv22032256m.g,No hit
gene:Ocbimv22011235m.g,Beta lactamase
gene:Ocbimv22030344m.g,LICD protein family
gene:Ocbimv22001106m.g,ATP citrate synthase
gene:Ocbimv22038774m.g,No hit
gene:Ocbimv22037830m.g,No hits (squid hit)
gene:Ocbimv22020983m.g,No hit
gene:Ocbimv22030325m.g,No hit (Squid hit)
gene:Ocbimv22015203m.g,No hit
gene:Ocbimv22010031m.g,No hit (squid and invert hits)
gene:Ocbimv22027764m.g,Innexin
gene:Ocbimv22026818m.g,Cadherin
gene:Ocbimv22014397m.g,No hit (Squid hit)
gene:Ocbimv22026600m.g,Myosin light chain
gene:Ocbimv22001300m.g,No hit (squid hit)
gene:Ocbimv22037179m.g,Leucine rich repeat
gene:Ocbimv22002827m.g,No hits
gene:Ocbimv22025965m.g,Cadherin
gene:Ocbimv22011036m.g,Copper amine oxidase amiloride binding protein
gene:Ocbimv22000340m.g,Sempaphorin
gene:Ocbimv22010062m.g,Chitin binding peritrophin
gene:Ocbimv22012392m.g,Ribosomal protein
gene:Ocbimv22015376m.g,Sulfotransferase Tango13 Transport
gene:Ocbimv22000160m.g,Cytochrome C P450
gene:Ocbimv22002564m.g,Aminopeptidase
gene:Ocbimv22000847m.g,Cadherin
gene:Ocbimv22027477m.g,No hits
gene:Ocbimv22038398m.g,AchE
gene:Ocbimv22013418m.g,No hits
gene:Ocbimv22001189m.g,Heparan sulfate (glucosamine) sulfotransferase
gene:Ocbimv22018048m.g,Sushi domain von Willebrand factor
gene:Ocbimv22012139m.g,Helix-loop DNA binding domain
gene:Ocbimv22032296m.g,No hit
gene:Ocbimv22014404m.g,Bacterial protein of unknown function
gene:Ocbimv22015376m.g,Heparan sulfate (glucosamine) sulfotransferase
gene:Ocbimv22021234m.g,No hits (squid hit)
gene:Ocbimv22014258m.g,No hit (Squid hit)
gene:Ocbimv22030188m.g,No hit
gene:Ocbimv22025575m.g,Polyadenylate binding protein
gene:Ocbimv22023622m.g,Eukaryotic type carbonic anhydrase
gene:Ocbimv22005648m.g,Ammonium transporter
gene:Ocbimv22000851m.g,Cadherin
gene:Ocbimv22007151m.g,Neuroendocrine hormone precursor
gene:Ocbimv22034840m.g,"7TMR (Rhodopsin family but not one of ours, Tachykinin receptor?)"
gene:Ocbimv22039703m.g,Thyroglobulin
gene:Ocbimv22018451m.g,No hits (squid hit)
gene:Ocbimv22001500m.g,GPCR (Rhodopsin family but not one of our opsins)
gene:Ocbimv22006598m.g,SLC(22?)
gene:Ocbimv22014073m.g,No hits (squid and invert hits)
gene:Ocbimv22011619m.g,Chromosome open reading frame
gene:Ocbimv22009628m.g,Galactosyltransferase
gene:Ocbimv22005132m.g,7TMR latrophil?
gene:Ocbimv22036586m.g,No hit (Squid hit)
gene:Ocbimv22001242m.g,Cadherin
gene:Ocbimv22021169m.g,No hits (squid hit)
gene:Ocbimv22015731m.g,Cadherin
gene:Ocbimv22017616m.g,No hit
gene:Ocbimv22001300m.g,No hits (Squid hit)
gene:Ocbimv22027762m.g,Innexin
gene:Ocbimv22018306m.g,Ras family like estrogen regulated growth inhibitor
gene:Ocbimv22015376m.g,Heparan sulfate (glucosamine) sulfotransferase
gene:Ocbimv22031888m.g,No hit
gene:Ocbimv22007058m.g,Cytochrome P450
gene:Ocbimv22032471m.g,Voltage gated potassium channel 
gene:Ocbimv22030376m.g,Collagen triple helix repeat
gene:Ocbimv22009629m.g,Galactosyltransferase
gene:Ocbimv22021143m.g,Lysozomal mannosidse beta
gene:Ocbimv22000638m.g,Short chain dehydrogenase
gene:Ocbimv22028614m.g,Immunoglobulin/Hemicentin
gene:Ocbimv22015376m.g,Heparan sulfate (glucosamine) sulfotransferase
gene:Ocbimv22011526m.g,Aquarporin
gene:Ocbimv22010210m.g,Small conductance calcium activated potassium channel
gene:Ocbimv22029009m.g,Retinol dehydrogenase
gene:Ocbimv22006379m.g,Proline serine threonine phosphatase interacting protein
gene:Ocbimv22012139m.g,Helix-loop DNA binding domain
gene:Ocbimv22005516m.g,HHIp like protein/sorbosone dehydrogenase
gene:Ocbimv22035824m.g,nAchR
gene:Ocbimv22006963m.g,nAchR
gene:Ocbimv22011568m.g,No hits
gene:Ocbimv22030325m.g,No hit (Squid hit)
gene:Ocbimv22032138m.g,No hits
gene:Ocbimv22027762m.g,Innexin
gene:Ocbimv22039757m.g,No hits (squid hit)
gene:Ocbimv22019794m.g,Calmodulin
gene:Ocbimv22002135m.g,Fibrinogen like
gene:Ocbimv22003415m.g,No hit (squid hit)
gene:Ocbimv22026896m.g,No hit
gene:Ocbimv22012626m.g,No hits (Squid hit)
gene:Ocbimv22020106m.g,SLC(17?)
gene:Ocbimv22006906m.g,No hit
gene:Ocbimv22020190m.g,No identifying hits
